city,sub_location,display_name,name_ar,name_en,poi_name,category,latitude,longitude,dist_to_center_m
Jenin,يعبد,دوار ياسين,دوار ياسين,Yassen Junction,Yassen Junction,mini_roundabout,32.44543,35.1757835,612
Jenin,يعبد,مركز الشفاء للعلاجات الطبية,مركز الشفاء للعلاجات الطبية,,Al Shefa' Center for Medical Therapy,public_building,32.4458756,35.1705058,120
Jenin,يعبد,جمعية ارض الاطفال,جمعية ارض الاطفال,,Children Land Society,public_building,32.447031,35.1691143,80
Jenin,يعبد,صريصة لغسيل لسيارات,صريصة لغسيل لسيارات,Sresa Car Wash,Sresa Car Wash,car_wash,32.4436831,35.1761104,700
Jenin,يعبد,مكتب بريد يعبد,مكتب بريد يعبد,Ya'bad Post Offfice,Ya'bad Post Offfice,post_office,32.4455961,35.1758038,611
Jenin,يعبد,مدرسة البنات الثانوية,مدرسة البنات الثانوية,,Secondary School for Girls,school,32.4430069,35.1625463,738
Jenin,يعبد,صيدلية جواد,صيدلية جواد,,Jawadphrmacy,pharmacy,32.4468672,35.1706261,133
Jenin,يعبد,بلدية يعبد,بلدية يعبد,,Ya'bad Municipality,public_building,32.445473,35.175038,542
Jenin,يعبد,بقالة ابوعارف,بقالة ابوعارف,,Abu-araf shop,convenience,32.446569,35.1716676,219
Jenin,يعبد,مخبز وحلويات الاحمدي,مخبز وحلويات الاحمدي,,Al Ahmade Bakery & Sweets,bakery,32.4462441,35.1689487,39
Jenin,يعبد,صيدلية الامل,صيدلية الامل,,Al-Amal Pharmacy,pharmacy,32.4457817,35.1752406,556
Jenin,يعبد,دوار العطاطرة,دوار العطاطرة,,Al-atatra mini round about,mini_roundabout,32.4456593,35.1724564,301
Jenin,يعبد,معرض الاناقة والتجميل,معرض الاناقة والتجميل,,Alanaka lundry,dry_cleaning,32.4463732,35.1699304,55
Jenin,يعبد,دريم للستلايت,دريم للستلايت,,Dreams for stallait,convenience,32.4467719,35.1711039,171
Jenin,يعبد,مطعم البيارة,مطعم البيارة,Al-bayara restaurant,Al-bayara restaurant,restaurant,32.4457048,35.1754498,577
Jenin,يعبد,دراي كلين يعبد,دراي كلين يعبد,,Ya'bad Dry Clean,dry_cleaning,32.4468709,35.1682344,120
Jenin,يعبد,مسجدمعاذ ابن جبل,مسجدمعاذ ابن جبل,,Mu'ath ibn jabal mosque,place_of_worship,32.4451596,35.1751336,558
Jenin,يعبد,قاعة الاصالة للافراح,قاعة الاصالة للافراح,,Al-Asala Town Hall,townhall,32.4460198,35.174586,493
Jenin,يعبد,مدرسة الوكالة,مدرسة الوكالة,,UNRWA School,school,32.4465291,35.1663697,280
Jenin,يعبد,جامع الشهيد باسل,جامع الشهيد باسل,,Al Shaheed Basel Mosque,place_of_worship,32.4493896,35.1639813,607
Jenin,يعبد,روضة اليمان,روضة اليمان,,Al Yaman Kindergarten,kindergarten,32.4498296,35.1664696,473
Jenin,يعبد,صيدلية العروبة,صيدلية العروبة,,Al orooba pharmacy,pharmacy,32.4462638,35.1675601,168
Jenin,يعبد,سوبر موبايل,سوبر موبايل,,Super Mobile,convenience,32.4459684,35.1670969,215
Jenin,يعبد,ديوان ال الكيلاني,ديوان ال الكيلاني,,Zaid Al Kelane Family Hall,townhall,32.4474475,35.1690714,126
Jenin,يعبد,موقف سيارات,موقف سيارات,,Car Park,parking,32.4469818,35.170677,144
Jenin,يعبد,محلات الوليد للاجهزة الكهربائية,محلات الوليد للاجهزة الكهربائية,,Al Waleed Shop for Electrical Devices,convenience,32.4472431,35.1706071,155
Jenin,يعبد,مكتب تكسي الوليد,مكتب تكسي الوليد,,Al Waleed Taxi Office,taxi,32.4470333,35.1701752,109
Jenin,يعبد,مسجد النور,مسجد النور,,Al Noor Mosque,place_of_worship,32.4505577,35.1693014,469
Jenin,يعبد,مسجد القاسم,مسجد القاسم,,Al Kasem Mosque,place_of_worship,32.4471765,35.1691808,94
Jenin,يعبد,سوبر ماركت العائلة,سوبر ماركت العائلة,,Family Supermarket,supermarket,32.446978,35.1700551,97
Jenin,يعبد,مدرسة بنات يعبد الاساسية الاولى,مدرسة بنات يعبد الاساسية الاولى,,Ya'bad Girls School,school,32.4439435,35.1705735,290
Jenin,يعبد,مقبرة يعبد,مقبرة يعبد,,Ya'bad Graveyard,grave_yard,32.4490467,35.1685552,310
Jenin,يعبد,مركز شباب يعبد الثقافي,مركز شباب يعبد الثقافي,,Ya'bad Youth Cultural Center,public_building,32.451217,35.1690382,543
Jenin,يعبد,مركز صحي,مركز صحي,,Medical Center,public_building,32.4448488,35.1659574,359
Jenin,يعبد,مستوصف القاسم,مستوصف القاسم,,Al Kasem Clinic,public_building,32.4471849,35.1692538,94
Jenin,يعبد,مدرسة البنات,مدرسة البنات,,School for Girls,school,32.4407674,35.1660964,691
Jenin,يعبد,مدرسة يعبد,مدرسة يعبد,,Ya'bad School,school,32.4451815,35.165795,358
Jenin,يعبد,مدارس الوكالة,مدارس الوكالة,,UNRWA Schools,school,32.4530284,35.1693675,744
Jenin,يعبد,مدرسة ذكور يعبد,مدرسة ذكور يعبد,,Ya'bad School for Boys,school,32.4449415,35.1649645,440
Jenin,يعبد,مدرسة يعبد الثانوية للذكور,مدرسة يعبد الثانوية للذكور,Ya'bad Secondary School for Boys,Ya'bad Secondary School for Boys,school,32.4399123,35.1786036,1125
Jenin,يعبد,مركز القمة الرياضي,مركز القمة الرياضي,,Sports Center,public_building,32.4465686,35.1688114,56
Jenin,يعبد,مسجد الحارة الشمالية,مسجد الحارة الشمالية,,North Neighborhood Mosque,place_of_worship,32.4466526,35.168523,85
Jenin,يعبد,ديوان ال ابو بكر,ديوان ال ابو بكر,,Abu Baker Family Hall,public_building,32.4455626,35.1664425,286
Jenin,يعبد,نادي يعبد الرياضي,نادي يعبد الرياضي,,Ya'bad Sports Club,public_building,32.4453745,35.1661116,322
Jenin,يعبد,حضانة الاسيل,حضانة الاسيل,,Al Aseel Kindergarten,kindergarten,32.4434756,35.1642064,578
Jenin,يعبد,تكسي فؤاد,تكسي فؤاد,,Foad Taxi,taxi,32.4448121,35.1655214,397
Jenin,عقابة,سوبر ماركت ناصر,سوبر ماركت ناصر,,Nasir Market,supermarket,32.3503092,35.3522938,241
Jenin,الألمانية,محطة طوباس لتعبئة الغاز,محطة طوباس لتعبئة الغاز,,Tubas Gas Station,fuel,32.3427347,35.3627351,655
Jenin,الألمانية,محطة و مغسلة الاصدقاء,محطة و مغسلة الاصدقاء,,Al 'Asdeka' Car Wash And Gas Station,fuel,32.3333677,35.3639009,870
Jenin,عقابة,مدرسة عقابة الثانوية للبنات,مدرسة عقابة الثانوية للبنات,,Akkaba Secondary School For Girls,school,32.3486193,35.3511632,264
Jenin,عقابة,مسجد بلال ابن رباح,مسجد بلال ابن رباح,,Bilal Ibn Rabah,place_of_worship,32.3509999,35.3517277,188
Jenin,عقابة,بقالة,بقالة,,Mini-Market,supermarket,32.3513988,35.3509684,138
Jenin,عقابة,مدرسة عقابة الاساسية للبنات,مدرسة عقابة الاساسية للبنات,,Akkaba Basic School For Girls,school,32.3489978,35.3510062,220
Jenin,الألمانية,اكادمية فلسطين الامريكية,اكادمية فلسطين الامريكية,,American-Palestinian Academy,college,32.3310905,35.3662523,1017
Jenin,عقابة,مني ماركت دنيا الدغري,مني ماركت دنيا الدغري,,Doina Al Doghri,supermarket,32.351552,35.3509044,144
Jenin,عقابة,ديوان ال قاسم,ديوان ال قاسم,,Qasim Family Hall,townhall,32.3515539,35.3486151,145
Jenin,عقابة,بقالة,بقالة,,Mini-Market,supermarket,32.3520103,35.3487339,177
Jenin,عقابة,مني ماركت الحرمين,مني ماركت الحرمين,,Al Haramen,supermarket,32.3519011,35.3491562,147
Jenin,عقابة,مني ماركت الاخوة,مني ماركت الاخوة,,Brothers Market,supermarket,32.3511568,35.3516425,184
Jenin,عقابة,مدرسة عقابة الاساسية للذكور,مدرسة عقابة الاساسية للذكور,,Akkaba Basic School For Boys,school,32.3519021,35.3448634,480
Jenin,عقابة,مسجد,مسجد,,Mosque,place_of_worship,32.3500883,35.3498654,66
Jenin,عقابة,بلدية عقابة,بلدية عقابة,,Akkaba Municipality,public_building,32.350065,35.3538424,389
Jenin,عقابة,بقالة,بقالة,,Mini-Market,supermarket,32.3502321,35.3506339,96
Jenin,عقابة,سوبر ماركت المجد,سوبر ماركت المجد,Al-Majd Supermarket,سوبر ماركت المجد,supermarket,32.3481524,35.3546347,537
Jenin,عقابة,بقالة,بقالة,,Mini-Market,supermarket,32.3518934,35.348146,203
Jenin,عقابة,مني ماركت الاسرة,مني ماركت الاسرة,,Al Osrah,supermarket,32.3518547,35.3479216,217
Jenin,عقابة,بقالة,بقالة,,Mini-Market,supermarket,32.3504601,35.350974,116
Jenin,عقابة,بقالة,بقالة,,Mini-Market,supermarket,32.349801,35.3517425,210
Jenin,عقابة,مركز عقابة,مركز عقابة,,Akkaba Police Station,police,32.3575999,35.3475326,798
Jenin,عقابة,ملحمة عقابا,ملحمة عقابا,,Akkaba Bakery,bakery,32.3519018,35.3499348,137
Jenin,الألمانية,مدرسة عقابة الثانوية للبنين,مدرسة عقابة الثانوية للبنين,,Akkaba Secondary School For Boys,school,32.3441606,35.3609275,881
Jenin,عقابة,محطة عقابة,محطة عقابة,,Akkaba Fuel,fuel,32.3502364,35.3520689,222
Jenin,عقابة,محمص عقابا الجديد,محمص عقابا الجديد,,Akkaba New Shop,supermarket,32.3509958,35.3517773,192
Jenin,عقابة,بقالة,بقالة,,Mini-Market,supermarket,32.3516945,35.3506294,139
Jenin,عقابة,بقالة,بقالة,,Mini-Market,supermarket,32.3521386,35.3487978,186
Jenin,الألمانية,محطة تحت الانشاء,محطة تحت الانشاء,,Gas Station,fuel,32.3400556,35.3604828,789
Jenin,عقابة,ملحمة الاقصى,ملحمة الاقصى,,Al Aqsa Butcher,butcher,32.3511496,35.3515915,179
Jenin,عقابة,مني ماركت اهل الراية,مني ماركت اهل الراية,,Ahl Al Rayah,supermarket,32.3520972,35.3489313,176
Jenin,عقابة,المخبز الحديث,المخبز الحديث,,New Baker,bakery,32.3518059,35.3497763,125
Jenin,عقابة,بقالة الامانة,بقالة الامانة,,Al Amaneh,supermarket,32.3518687,35.3486235,170
Jenin,عقابة,ديوان ال المصري,ديوان ال المصري,,Al Masri Family Hall,townhall,32.3493671,35.3510524,190
Jenin,عقابة,عيادة عقابة الطبية,عيادة عقابة الطبية,,Akkaba Medical Clinic,hospital,32.3501101,35.3501111,71
Jenin,سيلة الحارثية,مني ماركت الجرس,مني ماركت الجرس,Al Jaras Minimarket,مني ماركت الجرس,supermarket,32.5086565,35.2274077,120
Jenin,صير,مدرسة كفير صير المختلطة,مدرسة كفير صير المختلطة,,Sir Kuffeir School For Boys & Girls,school,32.3619098,35.3144049,160
Jenin,صير,خطير,خطير,,Grave,grave_yard,32.3621645,35.3146245,133
Jenin,ميثلون,بلدية ميثلون,بلدية ميثلون,,Methalon Municipality,townhall,32.3476123,35.2716839,201
Jenin,عرابة,تكسي عرابة,تكسي عرابة,,Araba Taxi,taxi,32.4054871,35.2049569,181
Jenin,ميثلون,صيدلية تبارك,صيدلية تبارك,,Tabarak Pharmacy,pharmacy,32.3463697,35.2765006,300
Jenin,عرابة,ديوان ال عارضة,ديوان ال عارضة,,Al-Arda Dewan,townhall,32.406264,35.2004193,330
Jenin,سيلة الحارثية,قاعة اللؤلؤه للأفراح,قاعة اللؤلؤه للأفراح,Al Lo'lo'a Hall For Parties,قاعة اللؤلؤه للأفراح,townhall,32.5130758,35.2307248,636
Jenin,عرابة,روضة براعم النور الاسلامية,روضة براعم النور الاسلامية,,Bara'm Alnoor Aleslamia,kindergarten,32.4065656,35.1986131,494
Jenin,سيلة الحارثية,جمعية سيلة الحارثية الخيرية,جمعية سيلة الحارثية الخيرية,,Selet Harthat Charitable Society,public_building,32.5104323,35.2276879,298
Jenin,سيلة الحارثية,مدرسة سيلة الحارثية للبنات,مدرسة سيلة الحارثية للبنات,Selet Al Harthya School For Girls,مدرسة سيلة الحارثية للبنات,school,32.5071652,35.2285287,77
Jenin,عنزة,ديوان ال صدقة,ديوان ال صدقة,,Sadaqa Family Hall,townhall,32.3589659,35.2193476,115
Jenin,سيلة الحارثية,مسجد سيلة الحارثية,مسجد سيلة الحارثية,Selet Harthya Mosque,مسجد سيلة الحارثية,pharmacy,32.508383,35.2284385,71
Jenin,عجة,ميني ماركت الحوراني,ميني ماركت الحوراني,Al Horani Mini market,Al Horani Minimarket,supermarket,32.3602218,35.1964108,164
Jenin,عرابة,مقبرة,مقبرة,,Graves,grave_yard,32.4070064,35.2038068,270
Jenin,كفر راعي,مخبز العجمي,مخبز العجمي,,Al Ajme Baker,convenience,32.3767758,35.1569473,287
Jenin,سيلة الحارثية,مني ماركت حسان,مني ماركت حسان,Hassan Minimarket,مني ماركت حسان,convenience,32.5057709,35.2286769,229
Jenin,تعنك,مسجد عمر بن الخطاب,مسجد عمر بن الخطاب,Omar Bin Al-Khattab Mosque,مسجد عمر بن الخطاب,place_of_worship,32.5197467,35.2209105,186
Jenin,عانين,مسجد بلال بن رباح,مسجد بلال بن رباح,Bilal Bin Rabah Mosque,مسجد بلال بن رباح,place_of_worship,32.5012319,35.1697045,194
Jenin,كفر راعي,ديوان يحيى,ديوان يحيى,,Yahya Hall,public_building,32.3724422,35.1536169,288
Jenin,كفر راعي,مخبز كفر راعي,مخبز كفر راعي,,Kafr Ra'i Baker,bakery,32.3749022,35.1560841,84
Jenin,عانين,مسجد عمر بن الخطاب,مسجد عمر بن الخطاب,Omar Bin Al-Khattab Mosque,مسجد عمر بن الخطاب,place_of_worship,32.5013191,35.165919,161
Jenin,عرابة,مني ماركت الوفاء,مني ماركت الوفاء,,Al Wafa' Minimarket,convenience,32.4079611,35.203343,373
Jenin,تعنك,مسجد الشهيد عبد الله عزام,مسجد الشهيد عبد الله عزام,Martyr Abdallah Azam Mosque,مسجد الشهيد عبد الله عزام,place_of_worship,32.5151057,35.2273047,700
